ID's,Predictions
14189.0,-5420.002511537986
14742.0,17534.739149900433
13905.0,4663.854479838033
10072.0,2675.4438991891902
14879.0,3383.7022981368073
13815.0,25792.107817154152
19697.0,24862.321507337867
17494.0,2612.5205970076045
16252.0,-9793.037548985703
16260.0,12398.92918064541
10947.0,16657.90439853768
11538.0,-7509.205549033589
10851.0,-18323.469795991754
12313.0,-7973.94701216997
14644.0,-7547.604349277639
17497.0,684.3217314562537
12965.0,-10146.129682182554
17746.0,4748.583728797661
13264.0,14162.920597015716
15763.0,-23796.375716124825
13170.0,-10563.819086352827
14479.0,24220.159499368245
10346.0,-8317.574073411752
18970.0,5541.451469742723
17476.0,-5360.09212042302
12119.0,9541.302071279057
14522.0,13136.56626442756
11345.0,-318.6145753733942
15683.0,12513.663444303153
14338.0,-3108.2561989891246
16930.0,-2452.8398452463957
17549.0,6369.26954687332
18555.0,3422.3660107025157
14186.0,-12671.35510251138
18035.0,-4520.233196590804
11346.0,-5762.499938228943
13372.0,-3119.786914401295
14401.0,-6851.834591056447
14478.0,-2174.1820802420984
13391.0,12780.466889934769
16092.0,-1740.4076739420366
15117.0,-24730.006734258877
14560.0,-14934.619900044816
19618.0,-11161.4562689869
12155.0,-269.81529002972326
10961.0,-19115.85679174867
19868.0,10297.067720668181
19198.0,11986.183524710548
13726.0,-2135.50875069514
16666.0,-3529.6719518126024
13672.0,9428.5735384446
13886.0,-2378.646659396318
19523.0,8731.20720889028
14938.0,4777.3678213360035
14487.0,-13429.162213336669
16576.0,-4074.936156186786
19957.0,-18743.578865796884
16881.0,13387.393629313492
10869.0,16778.405759741225
12817.0,6240.553973051036
18557.0,1807.2725498917637
17299.0,-15093.153192905153
17226.0,-11321.151331533321
16112.0,678.6405770941604
15144.0,1426.959522237895
15823.0,-8036.81113738681
15010.0,9911.077504167259
19373.0,-5230.4638131784895
16184.0,5651.95478155023
19047.0,-1900.4386222461142
18646.0,-3356.790595699371
13344.0,1592.3608774521829
12342.0,-3060.467531514228
10553.0,5323.189224630015
19450.0,-29914.572661149065
15128.0,715.5628489879804
10044.0,-11326.959584132095
14856.0,-2978.0100901134956
15428.0,-4287.341985949355
13473.0,5472.720479279633
19872.0,3904.2126095326503
12692.0,-31798.07297883367
13888.0,-8329.907651694486
14823.0,11579.96079784331
18733.0,-4563.087960762006
10761.0,7847.75443493288
11591.0,7938.358874303926
12327.0,1273.1608919322616
17004.0,7412.679474712504
15680.0,-2940.3006611127585
16195.0,287.031239251946
15474.0,424.5285682977723
17284.0,-1462.727443632804
18908.0,-2566.4554080995026
14277.0,1632.666930326506
14924.0,-3086.1155201079805
13919.0,1620.3031922750515
15254.0,-5105.566620286106
13202.0,2549.9787734768097
16766.0,1241.5563765538952
15324.0,18291.729067499455
11368.0,980.2017786005555
14317.0,-4821.481223507683
17266.0,1690.7895938084291
10189.0,2451.320758743774
11028.0,6362.715334314574
10711.0,9226.330054068108
14874.0,5007.272470640923
17245.0,-5264.725526962603
15974.0,12022.127255461468
18994.0,-29509.447999219607
19872.0,-18831.92982967831
12836.0,-11730.326701440994
15735.0,6403.502378702742
11353.0,-1962.874585567848
14846.0,13591.092666071949
11607.0,-9244.82091554945
13728.0,3618.083889125852
12620.0,-10891.764677633108
19347.0,18923.180004100595
17014.0,4817.876600637921
10978.0,4075.801357186926
16929.0,-584.8865102380169
14490.0,15995.297713668935
10736.0,-10735.922771906078
10832.0,-5744.43936102275
16282.0,-853.0827071300398
16616.0,-24095.918202980327
12892.0,-9555.135751848335
11476.0,-13565.53045500173
18604.0,23632.580691834457
18388.0,-12577.513045768184
15459.0,-1278.3813815996057
19991.0,-6500.067465386389
11707.0,-33308.031241768615
15249.0,-4277.239698024792
12753.0,17673.4729427011
12678.0,11249.588753973696
12090.0,8742.414428217082
11738.0,13908.47751690988
15311.0,-22063.380303772465
18015.0,-8385.844720612695
17528.0,-9571.350526493487
17736.0,-16033.070185524353
13587.0,-20123.33728153155
16934.0,-22000.953491214073
15540.0,-302.7414834913695
14747.0,14047.356378707515
12975.0,20575.24813880239
15694.0,2628.1989861172406
14344.0,5124.867286843611
14572.0,13222.168185186305
10307.0,2956.124354596852
12026.0,-14728.555344516944
16554.0,11129.599648024985
16700.0,6854.200203940765
13786.0,4741.093884047197
